symbol,LK01,LK02,LK03,LK04_treated,LK05_treated,LK06_treated,log2FoldChange,pvalue,padj,qval
Xpo1,495.8485972,528.1182744,519.1303783,519.7768978,516.3932547,470.0095165,-0.035130505,0.721360315,0.875192333,0.926538601
Usp34,823.181412,690.8148577,760.330106,785.1948881,772.8173651,792.5650671,0.046842115,0.59910607,0.807922637,0.885029577
Gm22753,4.849375034,5.164970898,3.673092299,8.601508947,7.09006757,9.215872873,0.866255408,0.195110644,0.458438516,0.552678757
Ahsa2,630.4187544,615.9227796,593.8165884,646.341958,634.5610475,635.8952283,0.058797812,0.577343007,0.795114248,0.87594753
Gm47279,14.5481251,12.91242725,17.1410974,18.43180489,14.18013514,10.36785698,-0.060905977,0.887722536,0.957701899,0.991087091
1700030C12Rik,14.5481251,12.91242725,17.1410974,18.43180489,14.18013514,10.36785698,-0.060871063,0.888048399,0.957734413,0.991092423
Selenok-ps1,2.424687517,0,1.2243641,1.228786992,0,3.455952327,0.353631455,0.830836273,NA,0.967153769
0610010F05Rik,231.5576579,179.4827387,266.9113737,202.7498537,228.0638402,220.0289648,-0.060435876,0.664484554,0.845099292,0.909082444
Pex13,1253.563446,1082.061403,1183.960084,860.1508947,989.064426,1034.48173,-0.287306059,0.001431297,0.013355457,0.017792465
Pus10,287.3254708,260.8310304,363.6361376,280.1634343,264.6958559,236.1567424,-0.225093813,0.115162067,0.333797826,0.413142146
Rel,87.28875061,72.30959258,77.13493829,83.55751548,128.8028942,149.7579342,0.61478501,0.005206386,0.037308514,0.049362295
Papolg,96.98750068,72.30959258,93.05167158,81.0999415,66.17396399,82.94285586,-0.19068632,0.374237674,0.650864635,0.745456861
Gm12061,0,0,0,0,0,1.151984109,0.89632683,0.747626424,NA,0.936238438
Bcl11a,2.424687517,1.291242725,1.2243641,15.9742309,3.545033785,23.03968218,3.102210984,0.00050654,0.005720784,0.00762522
4930538E20Rik,0,1.291242725,0,2.457573985,0,3.455952327,2.148591307,0.248577457,NA,0.623729197
5730522E02Rik,13.33578134,14.20366997,17.1410974,15.9742309,5.908389642,11.51984109,-0.423078519,0.474855877,0.727650848,0.815831837
Fancl,175.789845,200.1426223,150.5967843,190.4619838,172.5249775,191.2293621,0.075508119,0.602812835,0.809323991,0.885981149
Vrk2,92.13812565,107.1731461,110.192769,119.1923383,90.98920048,124.4142838,0.113365234,0.505198312,0.750508035,0.836453744
Gm6899,3.637031276,1.291242725,3.673092299,0,3.545033785,4.607936437,-0.069744593,0.94292552,NA,1
Gm12070,220.646564,254.3748167,279.1550147,267.8755643,238.6989415,211.9650761,-0.070647582,0.643842561,0.834567181,0.90278948
Gm6685,8.48640631,2.582485449,13.4680051,4.91514797,3.545033785,1.151984109,-1.373477318,0.070602743,NA,0.304916477
Efemp1,67.89125048,121.3768161,106.5196767,73.72721954,48.44879506,84.09483997,-0.516574221,0.019794217,0.099737017,0.129808449
Rpsa-ps5,2.424687517,1.291242725,1.2243641,4.91514797,4.726711713,1.151984109,1.113162838,0.290010848,NA,0.671845027
Pnpt1,507.9720348,675.319945,478.726363,485.370862,449.0376128,526.4567379,-0.184746979,0.14950696,0.392327452,0.480087905
A630052C17Rik,24.24687517,46.48473809,34.28219479,28.26210083,28.36027028,43.77539615,-0.059329028,0.877329228,0.953784356,0.98625165
Ppp4r3b,732.2556301,624.9614787,668.5027985,642.655597,675.919775,600.1837209,-0.079065094,0.4298531,0.695263881,0.786216382
Cfap36,203.6737514,232.4236904,215.4880816,208.8937887,171.3432996,169.341664,-0.246204442,0.120507982,0.34291011,0.423212325
Ccdc88a,25.45921893,40.02852446,31.83346659,54.06662767,63.81060813,84.09483997,1.060374401,9.04E-05,0.001377168,0.001841565
Prorsd1,206.0984389,249.2098458,179.9815227,208.8937887,252.8790767,200.445235,0.061699916,0.664297889,0.84497258,0.909082444
Mtif2,606.1718793,559.1080997,598.7140448,509.9466018,485.6696285,444.6658661,-0.293645211,0.002878273,0.023690084,0.031456081
Rps27a,2148.27314,2863.976363,2517.292589,2768.457094,2593.783053,2292.448377,0.023889699,0.814529201,0.92350687,0.960933293
Clhc1,1.212343759,0,0,0,0,2.303968218,0.806667315,0.718224463,NA,0.925484426
Gm12091,86.07640685,92.96947617,79.58366649,90.93023744,68.53731984,69.11904655,-0.179689054,0.362564573,0.641714237,0.738408155
Rtn4,573.4385978,661.116275,603.6115012,549.2677856,668.8297074,703.8622907,0.065912042,0.517712792,0.758486189,0.843045308
Eml6,12.12343759,9.038699072,9.794912798,3.686360977,11.81677928,14.97579342,-0.012811522,0.978698411,0.991072711,1
Fem1al,0,0,0,0,1.181677928,0,0.896328229,0.677276724,NA,0.912817474
Sptbn1,1134.753758,1067.857733,1193.754997,1103.450719,1088.325372,1191.151569,-0.005809269,0.945004041,0.978509235,1
Gm29237,2.424687517,3.873728174,2.4487282,3.686360977,4.726711713,3.455952327,0.446666807,0.605336127,NA,0.887120504
Gm8098,0,0,0,0,0,0,0,1,NA,1
Acyp2,14.5481251,23.24236904,11.0192769,27.03331383,17.72516893,25.3436504,0.52881131,0.161089887,0.409745982,0.499695604
Gm12098,0,0,0,1.228786992,1.181677928,3.455952327,3.103644288,0.0799303,NA,0.329974115
Psme4,1905.804388,1558.529969,1941.841462,1538.441314,1504.276003,1617.385689,-0.214619456,0.014940741,0.081189966,0.10609017
Asb3,130.9331259,132.9980006,95.50039978,132.7089952,132.347928,87.5507923,-0.028894464,0.878214789,0.954167862,0.986709581
Erlec1,551.6164101,586.224197,713.8042702,677.0616328,671.1930633,548.344436,0.033847648,0.767482718,0.899745091,0.94419879
Chac2,694.6729736,698.562314,668.5027985,586.1313954,571.9321173,760.309512,-0.103004206,0.329737232,0.610464864,0.710436992
Stc2,2.424687517,5.164970898,2.4487282,1.228786992,3.545033785,5.759920546,0.09768208,0.900540785,0.963188538,0.997404383
Bod1,436.4437531,398.9940019,353.8412248,368.6360977,415.9506308,392.8265812,-0.014152901,0.894134412,0.960587022,0.994396464
D630024D03Rik,112.7479695,60.68840806,79.58366649,57.75298864,36.63201578,72.57499888,-0.600314836,0.152030813,0.396707888,0.484873558
